schema_version,run_id,agent_id,agent_version,request_index,marker_index,marker_name,source_type,is_counted,path,chars,tokens,preview
hibench.benchmark.v1,claude-code-2.1.100-hi,claude-code,2.1.100,2,1,subagent_1,text_mention,False,system.2.text,26119,5412,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.100-hi,claude-code,2.1.100,2,2,general-purpose,declaration,True,tools.0.description.subagent.0,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.100-hi,claude-code,2.1.100,2,3,statusline-setup,declaration,True,tools.0.description.subagent.1,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.100-hi,claude-code,2.1.100,2,4,Explore,declaration,True,tools.0.description.subagent.2,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.100-hi,claude-code,2.1.100,2,5,Plan,declaration,True,tools.0.description.subagent.3,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.100-hi,claude-code,2.1.100,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.101-hi,claude-code,2.1.101,2,1,subagent_1,text_mention,False,system.2.text,26510,5487,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.101-hi,claude-code,2.1.101,2,2,general-purpose,declaration,True,tools.0.description.subagent.0,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.101-hi,claude-code,2.1.101,2,3,statusline-setup,declaration,True,tools.0.description.subagent.1,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.101-hi,claude-code,2.1.101,2,4,Explore,declaration,True,tools.0.description.subagent.2,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.101-hi,claude-code,2.1.101,2,5,Plan,declaration,True,tools.0.description.subagent.3,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.101-hi,claude-code,2.1.101,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.101-hi,claude-code,2.1.101,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.104-hi,claude-code,2.1.104,2,1,subagent_1,text_mention,False,system.2.text,26510,5487,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.104-hi,claude-code,2.1.104,2,2,general-purpose,declaration,True,tools.0.description.subagent.0,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.104-hi,claude-code,2.1.104,2,3,statusline-setup,declaration,True,tools.0.description.subagent.1,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.104-hi,claude-code,2.1.104,2,4,Explore,declaration,True,tools.0.description.subagent.2,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.104-hi,claude-code,2.1.104,2,5,Plan,declaration,True,tools.0.description.subagent.3,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.104-hi,claude-code,2.1.104,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.104-hi,claude-code,2.1.104,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.108-hi,claude-code,2.1.108,2,1,subagent_1,text_mention,False,system.2.text,26510,5487,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.108-hi,claude-code,2.1.108,2,2,general-purpose,declaration,True,tools.0.description.subagent.0,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.108-hi,claude-code,2.1.108,2,3,statusline-setup,declaration,True,tools.0.description.subagent.1,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.108-hi,claude-code,2.1.108,2,4,Explore,declaration,True,tools.0.description.subagent.2,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.108-hi,claude-code,2.1.108,2,5,Plan,declaration,True,tools.0.description.subagent.3,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.108-hi,claude-code,2.1.108,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.108-hi,claude-code,2.1.108,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.109-hi,claude-code,2.1.109,2,1,subagent_1,text_mention,False,system.2.text,26510,5487,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.109-hi,claude-code,2.1.109,2,2,general-purpose,declaration,True,tools.0.description.subagent.0,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
